community_board,complaint_type,count,date,ingested_at
04 BRONX,PAINT/PLASTER,34,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
13 BROOKLYN,Blocked Driveway,34,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
10 BROOKLYN,Street Condition,34,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
83 QUEENS,Taxi Complaint,33,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 QUEENS,Water Maintenance,33,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
03 BROOKLYN,Noise - Commercial,33,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
06 BROOKLYN,Noise - Street/Sidewalk,33,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
05 QUEENS,Noise - Street/Sidewalk,32,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
12 MANHATTAN,Noise - Commercial,32,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
10 BRONX,Noise - Street/Sidewalk,32,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
Unspecified MANHATTAN,Panhandling,32,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
Unspecified MANHATTAN,Encampment,32,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
01 STATEN ISLAND,Noise - Street/Sidewalk,32,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
06 BROOKLYN,Blocked Driveway,31,2026-09-12T00:00:00.000,2026-09-17T18:56:17.516904+00:00
